tract_geoid,first_year_shootings,last_year_shootings,total_shootings,avg_annual,recent_avg,change,pct_change,is_emerging,is_improving
42101027600,3,3,36,3.272727272727273,2.6666666666666665,0,0.0,False,False
42101027700,11,5,92,8.363636363636363,7.333333333333333,-6,-54.5,False,False
42101027800,7,3,93,8.454545454545455,4.0,-4,-57.1,False,False
42101027901,6,4,61,5.545454545454546,5.666666666666667,-2,-33.3,False,False
42101027902,4,3,49,4.454545454545454,3.6666666666666665,-1,-25.0,False,False
42101028000,9,3,92,8.363636363636363,5.333333333333333,-6,-66.7,False,False
42101028100,4,4,66,6.0,6.666666666666667,0,0.0,False,False
42101028200,8,6,137,12.454545454545455,9.0,-2,-25.0,False,False
42101028300,7,2,126,11.454545454545455,7.333333333333333,-5,-71.4,False,False
42101028400,1,5,69,6.2727272727272725,4.333333333333333,4,400.0,False,False
42101028500,4,3,38,3.4545454545454546,3.3333333333333335,-1,-25.0,False,False
42101028600,7,2,80,7.2727272727272725,6.0,-5,-71.4,False,False
42101028700,1,6,52,4.7272727272727275,3.3333333333333335,5,500.0,False,False
42101028800,4,4,75,6.818181818181818,4.333333333333333,0,0.0,False,False
42101028901,3,4,62,5.636363636363637,7.333333333333333,1,33.3,False,False
42101028902,14,3,69,6.2727272727272725,5.666666666666667,-11,-78.6,False,False
42101029000,0,3,62,5.636363636363637,6.666666666666667,3,100.0,False,False
42101029100,5,2,57,5.181818181818182,4.0,-3,-60.0,False,False
42101029200,1,3,30,2.727272727272727,2.0,2,200.0,False,False
42101029300,3,4,63,5.7272727272727275,3.6666666666666665,1,33.3,False,False
42101029400,3,8,58,5.2727272727272725,5.333333333333333,5,166.7,False,False
42101029800,4,3,84,7.636363636363637,5.0,-1,-25.0,False,False
42101029900,6,4,89,8.090909090909092,6.333333333333333,-2,-33.3,False,False
42101030000,16,15,253,23.0,17.333333333333332,-1,-6.2,False,False
42101030100,3,1,90,8.181818181818182,7.666666666666667,-2,-66.7,False,False
42101030200,5,8,109,9.909090909090908,9.666666666666666,3,60.0,False,False
42101030501,4,2,27,2.4545454545454546,2.6666666666666665,-2,-50.0,False,False
42101030502,0,1,39,3.5454545454545454,5.0,1,100.0,False,False
42101030600,1,0,14,1.2727272727272727,0.6666666666666666,-1,-100.0,False,False
42101030700,2,0,6,0.5454545454545454,0.0,-2,-100.0,False,False
42101030800,0,1,10,0.9090909090909091,1.6666666666666667,1,100.0,False,False
42101030900,1,1,10,0.9090909090909091,1.0,0,0.0,False,False
42101031000,0,0,18,1.6363636363636365,2.3333333333333335,0,0.0,False,False
42101031101,2,1,19,1.7272727272727273,1.3333333333333333,-1,-50.0,False,False
42101031102,1,2,19,1.7272727272727273,2.3333333333333335,1,100.0,False,False
42101031200,0,0,25,2.272727272727273,1.0,0,0.0,False,False
42101031300,1,3,21,1.9090909090909092,3.0,2,200.0,False,False
42101031401,1,2,16,1.4545454545454546,1.6666666666666667,1,100.0,False,False
42101031402,0,0,13,1.1818181818181819,0.6666666666666666,0,0.0,False,False
42101031501,1,0,16,1.4545454545454546,1.0,-1,-100.0,False,False
42101031502,0,0,5,0.45454545454545453,0.3333333333333333,0,0.0,False,False
42101031600,1,1,24,2.1818181818181817,0.6666666666666666,0,0.0,False,False
42101031700,3,3,19,1.7272727272727273,2.3333333333333335,0,0.0,False,False
42101031800,1,1,31,2.8181818181818183,2.6666666666666665,0,0.0,False,False
42101031900,2,1,26,2.3636363636363638,1.0,-1,-50.0,False,False
42101032000,0,2,25,2.272727272727273,1.3333333333333333,2,100.0,False,False
42101032100,2,7,51,4.636363636363637,5.0,5,250.0,False,False
42101032300,2,4,35,3.1818181818181817,4.666666666666667,2,100.0,False,False
42101032500,7,4,60,5.454545454545454,6.333333333333333,-3,-42.9,False,False
42101032600,2,5,41,3.727272727272727,4.0,3,150.0,False,False
42101032900,1,1,20,1.8181818181818181,1.3333333333333333,0,0.0,False,False
42101033000,6,5,66,6.0,4.0,-1,-16.7,False,False
42101033101,0,0,16,1.4545454545454546,2.3333333333333335,0,0.0,False,False
42101033102,0,0,7,0.6363636363636364,1.6666666666666667,0,0.0,False,False
42101033200,0,1,11,1.0,2.0,1,100.0,False,False
42101033300,0,1,9,0.8181818181818182,1.0,1,100.0,False,False
42101033400,1,0,12,1.0909090909090908,1.0,-1,-100.0,False,False
42101033500,0,2,9,0.8181818181818182,1.0,2,100.0,False,False
42101033600,0,2,16,1.4545454545454546,1.3333333333333333,2,100.0,False,False
42101033701,0,1,6,0.5454545454545454,0.6666666666666666,1,100.0,False,False
42101033702,0,0,5,0.45454545454545453,0.0,0,0.0,False,False
42101033800,0,1,24,2.1818181818181817,5.666666666666667,1,100.0,False,False
42101033900,3,0,5,0.45454545454545453,0.3333333333333333,-3,-100.0,False,False
42101034000,0,0,1,0.09090909090909091,0.0,0,0.0,False,False
42101034100,0,2,5,0.45454545454545453,0.6666666666666666,2,100.0,False,False
42101034200,0,0,2,0.18181818181818182,0.3333333333333333,0,0.0,False,False
42101034400,0,0,2,0.18181818181818182,0.0,0,0.0,False,False
42101034501,0,0,2,0.18181818181818182,0.6666666666666666,0,0.0,False,False
42101034502,0,0,3,0.2727272727272727,0.0,0,0.0,False,False
42101034600,0,0,13,1.1818181818181819,0.6666666666666666,0,0.0,False,False
42101034701,0,0,8,0.7272727272727273,1.0,0,0.0,False,False
42101034702,0,0,2,0.18181818181818182,0.3333333333333333,0,0.0,False,False
42101034801,0,0,11,1.0,0.6666666666666666,0,0.0,False,False
42101034802,0,1,3,0.2727272727272727,0.3333333333333333,1,100.0,False,False
42101034803,0,0,2,0.18181818181818182,0.0,0,0.0,False,False
42101034900,0,3,23,2.090909090909091,1.3333333333333333,3,100.0,False,False
42101035200,0,0,2,0.18181818181818182,0.0,0,0.0,False,False
42101035301,0,0,5,0.45454545454545453,0.3333333333333333,0,0.0,False,False
42101035302,0,1,2,0.18181818181818182,0.6666666666666666,1,100.0,False,False
42101035500,0,0,3,0.2727272727272727,0.3333333333333333,0,0.0,False,False
42101035601,0,0,1,0.09090909090909091,0.0,0,0.0,False,False
42101035701,0,0,3,0.2727272727272727,0.0,0,0.0,False,False
42101035702,0,0,3,0.2727272727272727,0.3333333333333333,0,0.0,False,False
