GEOID,tract_name,total_population,black_alone,pct_black,white_alone,pct_white,asian_alone,pct_asian,hispanic_latino,pct_hispanic,median_household_income,below_poverty,pct_poverty
42101003800,Census Tract 38; Philadelphia County; Pennsylvania,3851,45,1.2,3398,88.2,204,5.3,253,6.6,90221,247,6.4
42101003901,Census Tract 39.01; Philadelphia County; Pennsylvania,5813,471,8.1,3887,66.9,938,16.1,531,9.1,61984,827,14.3
42101003902,Census Tract 39.02; Philadelphia County; Pennsylvania,5419,0,0.0,4906,90.5,153,2.8,131,2.4,78582,607,11.2
42101004001,Census Tract 40.01; Philadelphia County; Pennsylvania,4029,140,3.5,3223,80.0,289,7.2,387,9.6,61583,840,20.8
42101004002,Census Tract 40.02; Philadelphia County; Pennsylvania,5272,287,5.4,4024,76.3,546,10.4,129,2.4,82834,542,10.3
42101004101,Census Tract 41.01; Philadelphia County; Pennsylvania,5001,451,9.0,2145,42.9,1508,30.2,1406,28.1,67992,528,10.6
42101004103,Census Tract 41.03; Philadelphia County; Pennsylvania,5000,83,1.7,1258,25.2,1436,28.7,2605,52.1,51450,1938,39.4
42101004104,Census Tract 41.04; Philadelphia County; Pennsylvania,3697,24,0.6,1679,45.4,1415,38.3,931,25.2,66648,938,25.4
42101004201,Census Tract 42.01; Philadelphia County; Pennsylvania,4916,107,2.2,2901,59.0,1436,29.2,476,9.7,88095,804,16.4
42101004202,Census Tract 42.02; Philadelphia County; Pennsylvania,5522,234,4.2,3890,70.4,863,15.6,1049,19.0,68419,1189,22.3
42101005400,Census Tract 54; Philadelphia County; Pennsylvania,1739,1382,79.5,319,18.3,19,1.1,52,3.0,60000,515,29.6
42101005500,Census Tract 55; Philadelphia County; Pennsylvania,5897,4741,80.4,532,9.0,172,2.9,311,5.3,62616,1417,24.3
42101005600,Census Tract 56; Philadelphia County; Pennsylvania,1138,993,87.3,50,4.4,7,0.6,48,4.2,34523,239,21.0
42101006000,Census Tract 60; Philadelphia County; Pennsylvania,6440,4798,74.5,579,9.0,237,3.7,391,6.1,46446,1413,22.5
42101006100,Census Tract 61; Philadelphia County; Pennsylvania,2919,2439,83.6,185,6.3,268,9.2,0,0.0,41325,616,21.1
42101006200,Census Tract 62; Philadelphia County; Pennsylvania,4394,3863,87.9,212,4.8,300,6.8,39,0.9,45502,605,13.8
42101006300,Census Tract 63; Philadelphia County; Pennsylvania,4415,3634,82.3,182,4.1,273,6.2,326,7.4,32347,1740,39.5
42101006400,Census Tract 64; Philadelphia County; Pennsylvania,4717,3499,74.2,250,5.3,96,2.0,368,7.8,38032,1730,37.1
42101006500,Census Tract 65; Philadelphia County; Pennsylvania,4672,4299,92.0,123,2.6,0,0.0,310,6.6,43081,904,19.5
42101006600,Census Tract 66; Philadelphia County; Pennsylvania,3396,2869,84.5,151,4.4,271,8.0,45,1.3,32946,1120,33.2
42101006700,Census Tract 67; Philadelphia County; Pennsylvania,7868,6692,85.1,154,2.0,600,7.6,113,1.4,41581,2055,26.2
42101007000,Census Tract 70; Philadelphia County; Pennsylvania,3521,3084,87.6,48,1.4,0,0.0,158,4.5,38158,507,14.4
42101007101,Census Tract 71.01; Philadelphia County; Pennsylvania,2317,2130,91.9,153,6.6,34,1.5,0,0.0,40046,682,30.3
42101007102,Census Tract 71.02; Philadelphia County; Pennsylvania,4584,4267,93.1,146,3.2,0,0.0,168,3.7,34291,1299,28.6
42101007200,Census Tract 72; Philadelphia County; Pennsylvania,4525,3684,81.4,99,2.2,104,2.3,306,6.8,41226,1533,34.0
42101007300,Census Tract 73; Philadelphia County; Pennsylvania,3295,2286,69.4,602,18.3,171,5.2,39,1.2,61488,356,10.8
42101007400,Census Tract 74; Philadelphia County; Pennsylvania,3955,2646,66.9,364,9.2,150,3.8,34,0.9,39547,1067,27.4
42101007700,Census Tract 77; Philadelphia County; Pennsylvania,1815,364,20.1,984,54.2,273,15.0,97,5.3,48581,265,22.4
42101007800,Census Tract 78; Philadelphia County; Pennsylvania,4191,674,16.1,2703,64.5,387,9.2,250,6.0,61205,1239,30.7
42101007900,Census Tract 79; Philadelphia County; Pennsylvania,3952,732,18.5,2370,60.0,340,8.6,218,5.5,79800,525,13.3
42101008000,Census Tract 80; Philadelphia County; Pennsylvania,3867,2743,70.9,767,19.8,27,0.7,57,1.5,63906,893,23.2
42101008101,Census Tract 81.01; Philadelphia County; Pennsylvania,3119,2805,89.9,286,9.2,0,0.0,41,1.3,48803,1022,32.8
42101008102,Census Tract 81.02; Philadelphia County; Pennsylvania,4902,3441,70.2,873,17.8,28,0.6,79,1.6,45888,783,16.2
42101008200,Census Tract 82; Philadelphia County; Pennsylvania,7503,6984,93.1,449,6.0,0,0.0,537,7.2,32333,2448,32.9
42101008301,Census Tract 83.01; Philadelphia County; Pennsylvania,4111,3610,87.8,139,3.4,0,0.0,298,7.2,38713,1131,30.7
42101008302,Census Tract 83.02; Philadelphia County; Pennsylvania,4844,4425,91.4,112,2.3,230,4.7,151,3.1,30922,1459,30.1
42101008400,Census Tract 84; Philadelphia County; Pennsylvania,5403,4584,84.8,92,1.7,194,3.6,28,0.5,47008,1374,25.5
42101008500,Census Tract 85; Philadelphia County; Pennsylvania,6515,5436,83.4,660,10.1,120,1.8,75,1.2,45397,1957,30.0
42101008601,Census Tract 86.01; Philadelphia County; Pennsylvania,3376,749,22.2,1889,56.0,204,6.0,316,9.4,79367,505,15.4
42101008602,Census Tract 86.02; Philadelphia County; Pennsylvania,3168,1918,60.5,863,27.2,273,8.6,98,3.1,31342,802,25.3
42101008701,Census Tract 87.01; Philadelphia County; Pennsylvania,3374,261,7.7,2111,62.6,723,21.4,119,3.5,59722,571,16.9
42101008702,Census Tract 87.02; Philadelphia County; Pennsylvania,2836,399,14.1,1601,56.5,536,18.9,226,8.0,36071,828,31.9
42101008801,Census Tract 88.01; Philadelphia County; Pennsylvania,2231,269,12.1,840,37.7,590,26.4,446,20.0,36574,295,44.0
42101008802,Census Tract 88.02; Philadelphia County; Pennsylvania,6156,1142,18.6,2886,46.9,1571,25.5,801,13.0,21064,2019,63.9
42101009000,Census Tract 90; Philadelphia County; Pennsylvania,7375,1175,15.9,4441,60.2,1350,18.3,315,4.3,37674,1722,53.8
42101009100,Census Tract 91; Philadelphia County; Pennsylvania,2962,915,30.9,986,33.3,752,25.4,201,6.8,27266,1427,48.3
42101009200,Census Tract 92; Philadelphia County; Pennsylvania,3444,1829,53.1,697,20.2,644,18.7,141,4.1,43839,963,28.0
42101009300,Census Tract 93; Philadelphia County; Pennsylvania,5200,4562,87.7,232,4.5,254,4.9,123,2.4,33509,1328,25.5
42101009400,Census Tract 94; Philadelphia County; Pennsylvania,3864,3570,92.4,43,1.1,0,0.0,40,1.0,26338,1387,35.9
42101009500,Census Tract 95; Philadelphia County; Pennsylvania,3755,3721,99.1,34,0.9,0,0.0,0,0.0,34652,1349,35.9
42101009600,Census Tract 96; Philadelphia County; Pennsylvania,3528,3336,94.6,0,0.0,6,0.2,461,13.1,50786,485,13.7
42101009801,Census Tract 98.01; Philadelphia County; Pennsylvania,2563,2210,86.2,169,6.6,76,3.0,24,0.9,71029,387,15.1
42101009802,Census Tract 98.02; Philadelphia County; Pennsylvania,5787,4923,85.1,262,4.5,0,0.0,516,8.9,72365,1142,19.7
42101010000,Census Tract 100; Philadelphia County; Pennsylvania,5306,4715,88.9,277,5.2,31,0.6,83,1.6,51734,1185,22.6
42101010100,Census Tract 101; Philadelphia County; Pennsylvania,6303,6064,96.2,99,1.6,0,0.0,23,0.4,44144,1058,16.8
42101010200,Census Tract 102; Philadelphia County; Pennsylvania,3427,3251,94.9,157,4.6,0,0.0,213,6.2,29375,1219,35.8
42101010300,Census Tract 103; Philadelphia County; Pennsylvania,2632,2576,97.9,46,1.7,0,0.0,20,0.8,33420,1057,40.2
42101010400,Census Tract 104; Philadelphia County; Pennsylvania,3551,2880,81.1,149,4.2,0,0.0,99,2.8,33804,1149,34.6
42101010500,Census Tract 105; Philadelphia County; Pennsylvania,4251,3772,88.7,216,5.1,130,3.1,200,4.7,37708,1063,29.1
42101010600,Census Tract 106; Philadelphia County; Pennsylvania,1799,1461,81.2,138,7.7,73,4.1,96,5.3,25000,684,38.9
42101010700,Census Tract 107; Philadelphia County; Pennsylvania,3255,2696,82.8,260,8.0,0,0.0,78,2.4,37917,1026,31.6
42101010800,Census Tract 108; Philadelphia County; Pennsylvania,4532,3382,74.6,388,8.6,182,4.0,178,3.9,29142,2206,48.7
42101010900,Census Tract 109; Philadelphia County; Pennsylvania,2717,2117,77.9,430,15.8,95,3.5,60,2.2,31341,1066,39.2
42101011000,Census Tract 110; Philadelphia County; Pennsylvania,2729,2340,85.7,231,8.5,14,0.5,106,3.9,14983,1466,53.7
42101011100,Census Tract 111; Philadelphia County; Pennsylvania,4049,3848,95.0,83,2.0,0,0.0,52,1.3,45519,1104,27.7
42101011200,Census Tract 112; Philadelphia County; Pennsylvania,5307,5065,95.4,49,0.9,0,0.0,109,2.1,28393,2289,43.7
42101011300,Census Tract 113; Philadelphia County; Pennsylvania,3822,3678,96.2,83,2.2,0,0.0,22,0.6,38858,1265,33.1
42101011400,Census Tract 114; Philadelphia County; Pennsylvania,6843,6440,94.1,309,4.5,5,0.1,69,1.0,40497,2094,30.8
42101011500,Census Tract 115; Philadelphia County; Pennsylvania,4881,4279,87.7,357,7.3,0,0.0,133,2.7,81154,697,14.3
